Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,31.5315,31.5315,29.106,30.3188,8649.503596774
2024-01-03,30.6919,31.2517,27.9866,29.8523,9091.143884526
2024-01-04,29.8523,30.7852,28.9195,30.2255,2148.172661784
2024-01-05,30.7852,30.7852,28.3597,29.5725,3295.151079004
2024-01-08,30.6919,31.1584,29.5725,30.4121,2397.935251702
2024-01-09,31.1584,33.6772,31.1584,32.1846,4807.66187031
2024-01-10,33.1174,34.8899,33.1174,33.7705,5342.561150864
2024-01-11,34.7034,34.7034,31.998,32.7443,6833.63309325
2024-01-12,33.1174,33.5839,32.7443,33.2107,959.38848917
2024-01-15,33.2107,35.4497,33.1174,34.7034,5381.15107892
2024-01-16,34.5168,34.8899,33.957,34.1436,1626.136690582
2024-01-17,33.957,34.7966,32.3711,34.0503,3135.43165455
2024-01-18,33.8638,35.4497,33.5839,35.3564,2651.985611404
2024-01-19,35.4497,36.196,35.4497,36.1027,3658.539568198
2024-01-22,36.1027,37.1289,35.1698,36.5691,4878.410071746
2024-01-23,36.5691,37.2221,35.0765,36.7557,2005.604316466
2024-01-24,37.0356,37.5953,35.543,36.4758,6635.32374074
2024-01-25,37.1289,37.1289,34.6101,35.3564,2253.223021492
2024-01-26,35.7295,36.196,33.8638,35.3564,3625.309352372
2024-01-29,35.8228,35.8228,33.7705,33.957,2007.748201358
2024-01-30,36.3826,38.155,34.5168,37.0356,20485.892085506
2024-01-31,37.0356,38.8081,36.849,37.3154,3652.107913522
2024-02-01,37.2221,39.2745,36.6624,38.3416,3411.992805618
2024-02-02,39.2745,41.047,38.5282,41.047,6781.107913396
2024-02-05,41.7933,43.8456,41.1403,41.6067,11275.762589474
2024-02-06,41.8866,41.8866,37.8752,41.4201,6900.093524902
2024-02-07,41.7933,41.7933,39.4611,40.7671,1881.25899273
2024-02-08,41.2336,41.3268,39.5544,41.2336,757.863309322
2024-02-09,41.9799,41.9799,39.1812,40.3007,1977.73381287
2024-02-12,41.2336,41.9799,38.5282,39.4611,2683.071942338
2024-02-13,39.2745,39.4611,38.0617,38.7148,1458.913669006
2024-02-14,38.2483,40.6738,37.502,40.6738,4758.352517794
2024-02-15,39.9275,40.6738,37.8752,38.3416,6314.812949386
2024-02-16,37.8752,38.3416,36.849,37.5953,6561.359711966
2024-02-19,37.5953,37.5953,35.8228,36.6624,10736.575539136
2024-02-20,36.6624,37.1289,36.0094,36.3826,2388.287769688
2024-02-21,36.3826,36.849,35.6362,36.7557,1859.82014381
2024-02-22,36.7557,36.7557,35.543,36.4758,865.057553922
2024-02-23,36.4758,36.6624,34.8899,36.196,7125.201438562
2024-02-26,36.0094,36.0094,34.5168,34.7034,1903.769784096
2024-02-27,34.7034,35.6362,34.6101,35.3564,3096.841726494
2024-02-28,35.0765,37.8752,34.8899,37.1289,7759.791366594
2024-02-29,36.5691,37.5953,36.5691,37.502,1745.122302088
2024-03-01,37.502,37.5953,35.8228,35.9161,1651.863309286
2024-03-04,36.1027,36.849,35.8228,36.4758,1959.510791288
2024-03-05,37.1289,37.1289,35.7295,36.849,1205.93525175
2024-03-06,36.4758,39.3678,36.4758,39.0879,3763.589927906
2024-03-07,39.3678,41.047,38.5282,40.5805,2694.863309244
2024-03-08,41.047,41.7933,40.6738,40.7671,2821.352517872
2024-03-11,41.2336,41.2336,39.8342,40.1141,584.20863307
2024-03-12,40.1141,41.7,39.3678,41.2336,1979.877697762
2024-03-13,41.8866,43.2859,41.2336,42.6329,19993.870502792
2024-03-14,42.8195,43.8456,42.353,43.8456,23901.100718462
2024-03-15,44.0322,45.9913,43.9389,45.6181,15024.345323136
2024-03-18,45.8047,45.898,44.4054,44.4054,13780.892085776
2024-03-19,44.9651,44.9651,41.7933,42.5396,4890.201438652
2024-03-20,41.9799,42.353,41.1403,41.1403,3318.733812816
2024-03-21,40.9537,41.8866,39.7409,41.3268,3830.050359558
2024-03-22,41.6067,43.0993,41.5134,43.0993,1983.0935251
2024-03-25,43.0993,43.4725,43.006,43.4725,2241.431654586
2024-03-26,43.3792,43.3792,42.2597,43.2859,1725.82733806
